organization_npi,claim_inpatient_admission_type_code,claim_admitting_diagnosis_code,patient_count,claim_count
1700887411,3,1987,100,100
1700887411,3,19889,100,100
1700887411,3,20050,100,100
1700887411,3,20280,500,500
1700887411,3,20300,500,500
1700887411,3,20302,100,100
1700887411,3,20400,100,100
1700887411,3,20410,100,100
1700887411,3,20500,100,100
1700887411,3,20501,100,100
1700887411,3,20903,100,100
1700887411,3,20921,100,100
1700887411,3,20929,100,100
1700887411,3,20972,100,100
1700887411,3,2102,100,100
1700887411,3,2111,100,100
1700887411,3,2113,100,100
1700887411,3,2123,500,500
1700887411,3,2125,100,100
1700887411,3,2155,100,100
1700887411,3,2189,100,100
1700887411,3,220,100,100
1700887411,3,2250,100,100
1700887411,3,2251,100,100
1700887411,3,2252,100,100
1700887411,3,2254,100,100
1700887411,3,2273,100,100
1700887411,3,2330,100,100
1700887411,3,2372,100,100
1700887411,3,2374,100,100
1700887411,3,2375,100,100
1700887411,3,2381,100,100
1700887411,3,23875,100,100
1700887411,3,V103,100,100
1700887411,3,V5811,1000,5000
1700887411,3,V5812,100,100
1700896354,3,1536,100,100
1700896354,3,1541,100,100
1700896354,3,1623,100,100
1700896354,3,1749,100,100
1700896354,3,1820,100,100
1700896354,3,2113,100,100
1700896354,3,2189,100,100
1700896354,3,V5811,100,100
1700910189,2,V5811,100,100
1700910189,3,185,500,500
1700910189,3,2113,100,100
1700950060,3,1623,100,100
1700950060,3,1629,100,100
1700950060,3,185,100,100
1700950060,3,1889,100,100
1700950060,3,1890,100,100
1700950060,3,2113,100,100
1700974292,2,V580,100,100
1700974292,2,V5811,100,100
1700977105,1,1629,100,100
1700977105,3,1534,100,100
1700977105,3,1536,100,100
1700977105,3,1539,100,100
1700977105,3,1623,100,100
1700977105,3,1625,100,100
1700977105,3,1744,100,100
1700977105,3,1748,100,100
1700977105,3,1749,100,100
1700977105,3,193,100,100
1700977105,3,2113,100,100
1700977105,3,2189,100,100
1700977105,3,2330,100,100
1700978558,2,V5811,100,100
1700979465,2,185,100,100
1700979465,2,V5811,100,100
1700979465,3,1541,100,100
1700979465,3,1623,100,100
1700979465,3,1625,100,100
1700979465,3,1629,100,100
1700979465,3,1820,100,100
1700979465,3,185,100,100
1700979465,3,1889,100,100
1700979465,3,1890,100,100
1700979465,3,2113,100,100
1700979465,3,V5811,100,100
1700994977,3,2113,100,100
1710051941,1,1629,100,100
